test;algorithm;less;my_compare;slow_compare;sorted;stable;compare_count
test/largeclass_rng_5000.in;gfx::timsort;1829.6;1732.8;2744.8;1.0;1.0;55136.0
test/largeclass_rng_5000.in;it_merge_2_sort;2512.6;2204.0;3109.6;1.0;1.0;54954.0
test/largeclass_rng_5000.in;it_merge_2_sort_rev;2446.8;1999.8;2976.6;1.0;1.0;54949.0
test/largeclass_rng_5000.in;it_merge_3_sort;2252.8;2064.2;3176.6;1.0;1.0;66106.0
test/largeclass_rng_5000.in;it_merge_4a_sort;2282.8;1936.8;2915.0;1.0;1.0;54954.0
test/largeclass_rng_5000.in;it_merge_4b_sort;2301.0;2060.4;3143.0;1.0;1.0;69668.0
test/largeclass_rng_5000.in;merge_2_sort;2401.4;2037.6;2971.2;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_3_sort;1966.8;1892.8;2990.6;1.0;1.0;65115.0
test/largeclass_rng_5000.in;merge_4a_sort;1849.4;1666.4;2624.6;1.0;1.0;54939.0
test/largeclass_rng_5000.in;merge_4b_sort;1963.6;1888.8;3151.8;1.0;1.0;74479.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_16c;3012.0;2308.2;3229.8;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_1c;2366.4;1975.0;2872.2;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_20c;7126.0;3976.4;5118.8;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_2c;2485.0;2135.0;2847.8;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_4c;2487.2;2036.8;2865.8;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_a_8c;2562.4;2150.0;3182.6;1.0;1.0;54903.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_16c;2341.2;2069.0;3057.8;1.0;1.0;55001.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_1c;1783.6;1689.0;2553.2;1.0;1.0;55001.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_20c;5348.4;3189.4;4052.2;1.0;1.0;55001.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_2c;1979.8;1740.4;2942.8;1.0;1.0;55001.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_4c;1969.8;1760.2;2864.2;1.0;1.0;55001.0
test/largeclass_rng_5000.in;merge_sort_parallel_b_8c;2118.6;1882.6;2890.2;1.0;1.0;55001.0
test/largeclass_rng_5000.in;std::sort;924.8;933.0;2513.4;1.0;0.0;73538.0
test/largeclass_rng_5000.in;std::stable_sort;1449.0;1352.2;2421.8;1.0;1.0;59016.0
test/largeclass_rng_5000.in;timsort;1780.6;1800.6;2724.0;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_16c;1822.4;1818.2;2770.4;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_1c;1615.2;1635.2;2517.8;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_20c;1755.8;1744.2;2718.2;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_2c;1726.6;1686.4;2560.6;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_4c;1749.0;1782.4;2684.8;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_a_8c;1635.6;1633.4;2539.2;1.0;1.0;54968.0
test/largeclass_rng_5000.in;timsort_parallel_b_16c;2506.0;2135.2;3101.2;1.0;1.0;54981.0
test/largeclass_rng_5000.in;timsort_parallel_b_1c;2007.4;1874.0;2744.6;1.0;1.0;54981.0
test/largeclass_rng_5000.in;timsort_parallel_b_20c;4449.2;2194.4;3334.2;1.0;1.0;54981.0
test/largeclass_rng_5000.in;timsort_parallel_b_2c;2033.8;1842.2;2890.4;1.0;1.0;54981.0
test/largeclass_rng_5000.in;timsort_parallel_b_4c;2065.8;1923.6;2906.2;1.0;1.0;54981.0
test/largeclass_rng_5000.in;timsort_parallel_b_8c;2358.2;2049.0;3087.4;1.0;1.0;54981.0
